cl60_937	17	4	4	1
cl60_940	60	5	5	1
cl60_947	11	84	85	0.988235
cl60_947	4	1	85	0.0117647
cl60_94	9	1	1	1
cl60_951	17	25	25	1
cl60_967	42	9	9	1
cl60_968	44	10	10	1
cl60_970	38	1	1	1
cl60_976	61	6	6	1
cl60_984	8	1	1	1
cl60_993	4	2	2	1
cl60_997	8	2	2	1
