cl60_1	Escherichia_coli_Shigella	Escherichia_coli-KX11;Escherichia_coli-KX42	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_364	Escherichia_coli_Shigella	O39	16	16	1.0	Highly confident
cl60_367	Escherichia_coli_Shigella	K25	3	4	0.75	Uncertain
cl60_37	Escherichia_coli_Shigella	K102	1	1	1.0	Highly confident
cl60_371	Escherichia_coli_Shigella	Escherichia_coli-KX75	41	55	0.745455	Confident
cl60_374	Escherichia_coli_Shigella	O176;O19	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_38	Escherichia_coli_Shigella	Escherichia_coli-KX42	2	8	0.25	Uncertain
cl60_389	Escherichia_coli_Shigella	O80	11	11	1.0	Highly confident
cl60_391	Escherichia_coli_Shigella	Shigella-B9	3	4	0.75	Uncertain
cl60_394	Escherichia_coli_Shigella	O8/O9/O9a;Shigella-D10	2;2	3;3	0.666667;0.666667	Uncertain;Uncertain
cl60_395	Escherichia_coli_Shigella	O36	1	1	1.0	Highly confident
cl60_398	Escherichia_coli_Shigella	O141/O141ab/O141ac	21	24	0.875	Confident
cl60_401	Escherichia_coli_Shigella	O54	15	15	1.0	Highly confident
cl60_405	Escherichia_coli_Shigella	K115	1	1	1.0	Highly confident
cl60_407	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_408	Escherichia_coli_Shigella	K71	1	1	1.0	Highly confident
cl60_409	Escherichia_coli_Shigella	O113	25	27	0.925926	Highly confident
cl60_410	Escherichia_coli_Shigella	O54	17	17	1.0	Highly confident
cl60_412	Escherichia_coli_Shigella	O22	2	2	1.0	Highly confident
cl60_413	Escherichia_coli_Shigella	K43	5	5	1.0	Highly confident
cl60_414	Escherichia_coli_Shigella	O133	7	7	1.0	Highly confident
cl60_416	Escherichia_coli_Shigella	Escherichia_coli-KX42	20	20	1.0	Highly confident
cl60_418	Escherichia_coli_Shigella	Escherichia_coli-KX36	48	64	0.75	Confident
cl60_422	Escherichia_coli_Shigella	O4	25	25	1.0	Highly confident
cl60_426	Escherichia_coli_Shigella	O15;O18/O18ab/O18ac	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_428	Escherichia_coli_Shigella	Escherichia_coli-KX03	1	1	1.0	Highly confident
cl60_430	Escherichia_coli_Shigella	O8/O9/O9a	6	7	0.857143	Confident
cl60_431	Escherichia_coli_Shigella	O45	1	1	1.0	Highly confident
cl60_439	Escherichia_coli_Shigella	O93	7	8	0.875	Confident
cl60_442	Escherichia_coli_Shigella	O112	23	23	1.0	Highly confident
cl60_443	Escherichia_coli_Shigella	O93	30	36	0.833333	Confident
cl60_445	Escherichia_coli_Shigella	Escherichia_coli-KX47	67	86	0.77907	Confident
cl60_447	Escherichia_coli_Shigella	O13/O129/O135	1	1	1.0	Highly confident
cl60_449	Escherichia_coli_Shigella	K71	1	1	1.0	Highly confident
cl60_45	Escherichia_coli_Shigella	O8/O9/O9a	74	85	0.870588	Confident
cl60_451	Escherichia_coli_Shigella	O20/O137	35	35	1.0	Highly confident
cl60_458	Escherichia_coli_Shigella	O144	6	6	1.0	Highly confident
cl60_459	Escherichia_coli_Shigella	O25	3	3	1.0	Highly confident
cl60_460	Escherichia_coli_Shigella	O8/O9/O9a;Shigella-D10	1;1	1;1	1.0;1.0	Highly confident;Highly confident
cl60_466	Escherichia_coli_Shigella	O5	51	54	0.944444	Highly confident
cl60_475	Escherichia_coli_Shigella	O70	14	16	0.875	Confident
cl60_478	Escherichia_coli_Shigella	Escherichia_coli-KX42;Escherichia_coli-KX46	92;95	198;198	0.464646;0.479798	Confident;Confident
cl60_485	Escherichia_coli_Shigella	O8/O9/O9a	4	5	0.8	Confident
cl60_486	Escherichia_coli_Shigella	O133	6	6	1.0	Highly confident
cl60_49	Escherichia_coli_Shigella	O93	7	10	0.7	Confident
cl60_491	Escherichia_coli_Shigella	O8/O9/O9a	8	8	1.0	Highly confident
cl60_492	Escherichia_coli_Shigella	O8/O9/O9a	3	3	1.0	Highly confident
cl60_494	Escherichia_coli_Shigella	O15	1	1	1.0	Highly confident
cl60_495	Escherichia_coli_Shigella	O184	8	8	1.0	Highly confident
cl60_499	Escherichia_coli_Shigella	Escherichia_coli-KX42	6	34	0.176471	Confident
cl60_500	Escherichia_coli_Shigella	O78	15	16	0.9375	Highly confident
cl60_502	Escherichia_coli_Shigella	O29	9	10	0.9	Confident
cl60_503	Escherichia_coli_Shigella	O2/O50	12	12	1.0	Highly confident
cl60_505	Escherichia_coli_Shigella	O116	1	1	1.0	Highly confident
cl60_507	Escherichia_coli_Shigella	O112	9	9	1.0	Highly confident
cl60_509	Escherichia_coli_Shigella	O141/O141ab/O141ac	19	26	0.730769	Confident
cl60_510	Escherichia_coli_Shigella	O32;O83	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_512	Escherichia_coli_Shigella	O184	1	1	1.0	Highly confident
cl60_514	Escherichia_coli_Shigella	Escherichia_coli-KX42	1	1	1.0	Highly confident
cl60_516	Escherichia_coli_Shigella	O159	33	35	0.942857	Highly confident
cl60_52	Escherichia_coli_Shigella	Escherichia_coli-KX24	81	211	0.383886	Confident
