cl60_79	Klebsiella	K139	19	23	0.826087	Confident
cl60_790	Klebsiella	O104	1	1	1.0	Highly confident
cl60_791	Klebsiella	K140	6	6	1.0	Highly confident
cl60_793	Klebsiella	O5	4	6	0.666667	Confident
cl60_8	Klebsiella	K107;K13	41;90	546;546	0.0750916;0.164835	Uncertain;Confident
cl60_802	Klebsiella	K109	1	1	1.0	Highly confident
cl60_803	Klebsiella	K64	1	1	1.0	Highly confident
cl60_804	Klebsiella	K119	8	9	0.888889	Confident
cl60_81	Klebsiella	K127	4	6	0.666667	Confident
cl60_812	Klebsiella	K146	1	1	1.0	Highly confident
cl60_814	Klebsiella	O4	1	1	1.0	Highly confident
cl60_818	Klebsiella	O104;O3b	1;1	2;2	0.5;0.5	Uncertain;Uncertain
cl60_82	Klebsiella	K47	16	19	0.842105	Confident
cl60_833	Klebsiella	K62	99	133	0.744361	Confident
cl60_839	Klebsiella	O5	1	1	1.0	Highly confident
cl60_840	Klebsiella	K64	1	1	1.0	Highly confident
cl60_845	Klebsiella	K64	1	1	1.0	Highly confident
cl60_846	Klebsiella	K64	1	1	1.0	Highly confident
cl60_853	Klebsiella	O3/O3a;O5	4;4	9;9	0.444444;0.444444	Confident;Confident
cl60_854	Klebsiella	K117	1	1	1.0	Highly confident
cl60_855	Klebsiella	K177	1	1	1.0	Highly confident
cl60_86	Klebsiella	K128	36	38	0.947368	Highly confident
cl60_862	Klebsiella	O3/O3a	9	14	0.642857	Confident
cl60_864	Klebsiella	K66	8	10	0.8	Confident
cl60_866	Klebsiella	O3/O3a	1	1	1.0	Highly confident
cl60_869	Klebsiella	K159	3	4	0.75	Uncertain
cl60_872	Klebsiella	K186	1	1	1.0	Highly confident
cl60_875	Klebsiella	K21	13	16	0.8125	Confident
cl60_882	Klebsiella	K3	79	147	0.537415	Confident
cl60_887	Klebsiella	K57	5	5	1.0	Highly confident
cl60_899	Klebsiella	O103	1	1	1.0	Highly confident
cl60_9	Klebsiella	K118	6	8	0.75	Confident
cl60_90	Klebsiella	K12	33	53	0.622642	Confident
cl60_901	Klebsiella	O102	1	1	1.0	Highly confident
cl60_91	Klebsiella	K123;K60	22;17	60;60	0.366667;0.283333	Confident;Confident
cl60_914	Klebsiella	O2a	2	2	1.0	Highly confident
cl60_918	Klebsiella	K127	5	11	0.454545	Confident
cl60_93	Klebsiella	K36	2	2	1.0	Highly confident
cl60_930	Klebsiella	K110	7	11	0.636364	Confident
cl60_933	Klebsiella	K2	4	4	1.0	Highly confident
cl60_946	Klebsiella	K107;K141;K43	1;1;1	3;3;3	0.333333;0.333333;0.333333	Uncertain;Uncertain;Uncertain
cl60_962	Klebsiella	O3/O3a	5	7	0.714286	Confident
cl60_97	Klebsiella	K19	80	117	0.683761	Confident
cl60_975	Klebsiella	K162;K72	4;4	12;12	0.333333;0.333333	Confident;Confident
cl60_98	Klebsiella	K177	1	1	1.0	Highly confident
cl60_99	Klebsiella	K184	1	1	1.0	Highly confident
cl60_990	Klebsiella	K111	1	1	1.0	Highly confident
